"Extra Fields Synchronization","Sincronización de Campos Adicionales"
"Optional sync from dedicated attributes to Magento native customer
fields.","Sincronización opcional de atributos dedicados a los campos nativos de Magento."
"Copy CPF/CNPJ to Tax/VAT","Copiar CPF/CNPJ a Tax/VAT"
"Sync the CPF or CNPJ attribute value to the native Tax/VAT field.","Sincroniza el valor del atributo CPF o CNPJ al campo nativo Tax/VAT."
"Use First Name as Social Name","Usar Nombre como Razón Social"
"When enabled, Social Name is not shown and First Name is used as Razão Social
for corporations.","Cuando está activado, Razón Social no se muestra y el Nombre se usa como Razón Social para persona jurídica."
"Use Last Name as Trade Name","Usar Apellido como Nombre Comercial"
"When enabled, Trade Name is not shown and Last Name is used as Nome Fantasia
for corporations.","Cuando está activado, Nombre Comercial no se muestra y el Apellido se usa como Nombre Comercial para persona jurídica."
"CPF uses a dedicated customer attribute.
Configure RG visibility separately.","El CPF usa un atributo dedicado. Configure la visibilidad del RG por separado."
"CPF","CPF"
"RG","RG"
"Visibility and validation for the CPF customer attribute.","Visibilidad y validación del atributo CPF."
"Visibility and validation for the RG customer attribute.","Visibilidad y validación del atributo RG."
"CNPJ, Social Name and Trade Name use dedicated customer attributes.
Configure IE separately.","CNPJ, Razón Social y Nombre Comercial usan atributos dedicados. Configure la IE por separado."
"CNPJ","CNPJ"
"IE","IE"
"Visibility and validation for the CNPJ customer attribute.","Visibilidad y validación del atributo CNPJ."
"Visibility and validation for the IE customer attribute.","Visibilidad y validación del atributo IE."
"Social Name","Razón Social"
"Visibility and validation for the Social Name customer attribute.","Visibilidad y validación del atributo Razón Social."
"Trade Name","Nombre Comercial"
"Visibility and validation for the Trade Name customer attribute.","Visibilidad y validación del atributo Nombre Comercial."
